,type,latitude,longitude,continent
80,cellular,38.7585,-9.2825,Europe
81,cellular,55.7495,37.7575,Europe
82,cellular,51.4315,6.7875,Europe
83,cellular,52.4595,4.6085,Europe
84,cellular,52.5475,4.6815,Europe
85,cellular,52.4395,4.8305,Europe
86,cellular,50.5115,30.5075,Europe
87,cellular,-33.9685,151.0695,Oceania
88,cellular,50.0785,14.4905,Europe
89,cellular,55.8275,12.5315,Europe
90,cellular,50.4585,30.5085,Europe
91,cellular,55.7405,37.5915,Europe
92,cellular,-7.8025,110.3595,Asia
93,cellular,38.7575,-9.2785,Europe
94,cellular,52.3475,4.9095,Europe
95,cellular,47.8975,13.1915,Europe
96,cellular,38.7585,-9.2015,Europe
97,cellular,38.8085,-9.1195,Europe
98,cellular,51.4975,7.0495,Europe
99,cellular,55.7385,37.4915,Europe
100,starlink,54.6485,-1.6405,Europe
101,starlink,43.1575,-70.6485,North America
102,starlink,34.7175,-76.6585,North America
103,starlink,41.0585,-76.3415,North America
104,starlink,44.5405,-88.2525,North America
105,starlink,52.2385,6.8495,Europe
106,starlink,38.4585,-89.7725,North America
107,starlink,43.2505,-124.3915,North America
108,starlink,43.8485,1.3995,Europe
109,starlink,40.7115,-74.0105,North America
110,starlink,46.7395,-79.8115,North America
111,starlink,43.3585,5.4495,Europe
112,starlink,46.5015,-122.9685,North America
113,starlink,37.2075,-107.9815,North America
114,starlink,39.2115,-86.8685,North America
115,starlink,36.1185,-79.1605,North America
116,starlink,49.9605,4.9295,Europe
117,starlink,53.8295,18.0395,Europe
118,starlink,47.1375,15.4515,Europe
119,starlink,-37.8315,145.6815,Oceania
120,starlink,45.4175,-75.7015,North America
121,starlink,18.3375,-64.9325,North America
122,starlink,45.4005,11.2675,Europe
123,starlink,48.7475,2.4895,Europe
124,starlink,46.7585,-119.1685,North America
125,starlink,34.2875,-94.2715,North America
126,starlink,41.6705,12.6885,Europe
127,starlink,59.6395,17.9215,Europe
128,starlink,48.1405,-1.9515,Europe
129,starlink,53.1285,-113.2085,North America
130,starlink,14.0875,-87.1805,North America
131,starlink,42.8485,-89.3715,North America
132,starlink,34.2715,-116.3905,North America
133,starlink,43.9305,-73.2925,North America
134,starlink,52.7905,-2.5615,Europe
135,starlink,52.5185,13.4095,Europe
136,starlink,35.3415,25.1395,Europe
137,starlink,48.4275,-123.3685,North America
138,starlink,45.7615,4.8385,Europe
139,starlink,40.1095,-104.9415,North America
140,starlink,63.7475,-68.5225,North America
141,starlink,11.2605,124.0305,Asia
142,starlink,39.1005,-77.9625,North America
143,starlink,18.5705,-72.2715,North America
144,starlink,-21.9285,114.1175,Oceania
145,starlink,37.0415,-121.9915,North America
146,starlink,-20.8795,55.4515,Europe
147,starlink,-33.8715,151.1995,Oceania
148,starlink,45.3785,-92.5015,North America
149,starlink,49.1185,9.1515,Europe
150,ethernet,44.7975,20.3775,Europe
151,ethernet,44.2605,-78.6625,North America
152,ethernet,35.9615,129.3995,Asia
153,ethernet,13.0375,77.7515,Asia
154,ethernet,-22.5595,17.0685,Africa
155,ethernet,43.0515,-124.4225,North America
156,ethernet,52.3005,9.9075,Europe
157,ethernet,-23.6685,-46.7415,South America
158,ethernet,32.0215,34.7375,Asia
159,ethernet,53.3375,83.7715,Europe
160,ethernet,46.2875,-0.4185,Europe
161,ethernet,14.6205,121.0095,Asia
162,ethernet,50.3905,30.3685,Europe
163,ethernet,37.7795,140.4495,Asia
164,ethernet,50.1615,16.3595,Europe
165,ethernet,30.3615,-91.0005,North America
166,ethernet,40.3615,50.0705,Asia
167,ethernet,32.8885,-117.1815,North America
168,ethernet,46.5275,6.6395,Europe
169,ethernet,50.6415,5.5785,Europe
170,ethernet,55.7785,37.4585,Europe
171,ethernet,49.4115,11.1175,Europe
172,ethernet,42.1615,14.6085,Europe
173,ethernet,41.5885,-4.7315,Europe
174,ethernet,51.4595,-0.9815,Europe
175,ethernet,42.3085,-83.7185,North America
176,ethernet,42.6915,23.3395,Europe
177,ethernet,48.2095,22.6385,Europe
178,ethernet,36.0695,32.8405,Asia
179,ethernet,49.0115,1.5475,Europe
180,ethernet,56.0505,12.6785,Europe
181,ethernet,49.9995,14.6715,Europe
182,ethernet,52.3995,4.6275,Europe
183,ethernet,45.5215,-122.8095,North America
184,ethernet,49.2415,28.4985,Europe
185,ethernet,10.1385,76.4585,Asia
186,ethernet,51.4715,6.9205,Europe
187,ethernet,44.9115,8.6085,Europe
188,ethernet,50.0185,8.3515,Europe
189,ethernet,49.1305,16.4775,Europe
190,ethernet,53.1695,6.7995,Europe
191,ethernet,47.2815,1.1105,Europe
192,ethernet,43.1295,-77.5615,North America
193,ethernet,48.2475,11.6075,Europe
194,ethernet,53.0915,8.8785,Europe
195,ethernet,50.3285,11.6995,Europe
196,ethernet,49.0515,17.4705,Europe
197,ethernet,48.9095,13.8685,Europe
198,ethernet,32.8205,35.0715,Asia
199,ethernet,48.7885,2.1775,Europe
200,ethernet,52.9385,1.2715,Europe
201,ethernet,-7.7715,110.3385,Asia
202,ethernet,40.8875,-74.6805,North America
203,ethernet,50.4485,30.5205,Europe
204,ethernet,-34.9215,-56.1595,South America
205,ethernet,47.9115,106.9315,Asia
206,ethernet,33.4475,-111.7185,North America
207,ethernet,-43.8115,172.9085,Oceania
208,ethernet,47.3785,8.5375,Europe
209,ethernet,35.7315,51.3795,Asia
210,ethernet,35.1615,138.6715,Asia
211,ethernet,43.2385,76.8975,Asia
212,ethernet,-20.9525,55.3395,Europe
213,ethernet,6.4495,2.3515,Africa
214,ethernet,6.2505,-75.5715,South America
215,ethernet,61.2415,-149.8395,North America
216,ethernet,48.4815,16.4295,Europe
217,ethernet,-33.8985,150.8915,Oceania
218,ethernet,55.6995,12.5575,Europe
219,ethernet,56.3805,24.2295,Europe
220,ethernet,-22.3525,-46.9525,South America
221,ethernet,41.0075,28.9795,Asia
222,ethernet,-31.9505,115.8515,Oceania
223,ethernet,49.9485,82.6305,Asia
224,ethernet,13.7405,100.5495,Asia
225,ethernet,52.1685,6.1405,Europe
226,ethernet,55.6395,37.3685,Europe
227,ethernet,24.4785,39.5495,Asia
228,ethernet,38.7215,-9.1405,Europe
229,ethernet,37.2915,23.1685,Europe
230,ethernet,60.6985,24.4575,Europe
231,ethernet,1.3295,103.9285,Asia
232,ethernet,46.3385,48.0475,Europe
233,ethernet,51.5415,-0.1405,Europe
234,ethernet,42.2705,23.5385,Europe
235,ethernet,53.0685,19.4115,Europe
236,ethernet,36.8475,10.2575,Africa
237,ethernet,63.3315,17.0715,Europe
238,ethernet,47.8195,13.0405,Europe
239,ethernet,49.7995,73.1085,Asia
240,ethernet,58.7695,5.9795,Europe
241,ethernet,29.3815,47.9795,Asia
242,ethernet,33.0805,-117.3115,North America
243,ethernet,52.0575,14.2205,Europe
244,ethernet,45.4005,11.2685,Europe
245,ethernet,35.0395,25.9675,Europe
246,ethernet,12.3985,-1.5605,Africa
247,ethernet,52.1475,8.6515,Europe
248,ethernet,42.8985,71.3785,Asia
249,ethernet,-6.4895,106.7875,Asia
